date,zip,confirmed_cases,Age: Unknown,Age: <20,Age: 20-29,Age: 30-39,Age: 40-49,Age: 50-59,Age: 60-69,Age: 70-79,Age: 80+,Gender: Male,Gender: Female,Gender: Unknown/Left Blank,Race: White,Race: Black,Race: Left Blank,Race: Other,Race: Asian,Race: Hispanic,Race: NH/PI*,Race: AI/AN**
2020-4-20,53142,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-4-20,60002,34,0,0,6,6,9,9,0,0,0,16,18,0,12,0,11,0,0,0,0,0
2020-4-20,60004,63,0,0,8,0,13,15,10,7,0,34,27,0,24,0,19,0,6,10,0,0
2020-4-20,60005,41,0,0,0,8,8,8,6,0,0,24,17,0,14,0,9,0,0,8,0,0
2020-4-20,60007,61,0,0,0,9,8,16,12,10,0,32,29,0,32,0,11,0,0,12,0,0
2020-4-20,60008,37,0,0,0,0,9,6,0,0,0,22,15,0,13,0,9,0,0,10,0,0
2020-4-20,60010,30,0,0,0,0,0,0,9,0,0,13,16,0,16,0,7,0,0,0,0,0
2020-4-20,60012,19,0,0,0,0,0,0,0,0,9,10,9,0,15,0,0,0,0,0,0,0
2020-4-20,60013,32,0,0,0,6,0,7,10,0,0,13,19,0,21,0,6,0,0,0,0,0
2020-4-20,60014,39,0,0,0,9,0,9,6,0,0,14,25,0,28,0,0,0,0,0,0,0
2020-4-20,60015,79,0,0,11,0,12,14,8,12,17,34,45,0,58,0,6,10,0,0,0,0
2020-4-20,60016,345,0,0,42,53,72,75,54,25,20,192,152,0,88,20,95,45,53,41,0,0
2020-4-20,60018,117,0,0,21,22,23,21,15,8,6,59,55,0,23,7,33,10,0,39,0,0
2020-4-20,60020,10,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0
2020-4-20,60021,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
2020-4-20,60022,15,0,0,0,0,0,0,0,0,0,8,7,0,14,0,0,0,0,0,0,0
2020-4-20,60025,150,0,0,22,6,35,40,17,10,15,69,79,0,85,0,15,19,18,9,0,0
